City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,longyearbyen,78.2186,15.6401,2.91,65,75,7.2,SJ,2023-12-13
151,tralee,52.2704,-9.7026,10.14,76,75,3.09,IE,2023-12-13
152,puerto baquerizo moreno,-0.9,-89.6,23.95,88,99,5.31,EC,2023-12-13
153,mahibadhoo,3.7833,72.9667,27.95,80,55,5.32,MV,2023-12-13
154,jijel,36.8205,5.7667,23.97,64,0,3.09,DZ,2023-12-13
155,rikaze,29.25,88.8833,-2.74,21,100,1.01,CN,2023-12-13
156,opuwo,-18.0607,13.84,34.09,14,89,6.03,,2023-12-13
157,hyrum,41.6341,-111.8522,0.19,80,0,1.79,US,2023-12-13
158,wladyslawowo,54.7909,18.4009,3.3,79,100,4.99,PL,2023-12-13
159,bredasdorp,-34.5322,20.0403,22.48,48,10,7.42,ZA,2023-12-13
160,khlong luang,14.0647,100.6458,31.66,57,20,1.54,TH,2023-12-13
161,saint-flour,45.0833,3.0,2.71,90,100,4.64,FR,2023-12-13
162,richards bay,-28.783,32.0377,21.07,84,100,1.5,ZA,2023-12-13
163,codrington,-38.2667,141.9667,15.18,84,84,3.49,AU,2023-12-13
164,fort bragg,35.139,-79.006,3.44,85,0,1.54,US,2023-12-13
165,mangai,-4.05,19.5333,29.85,56,97,0.79,CD,2023-12-13
166,yozgat,39.5833,35.3333,6.14,54,97,3.09,TR,2023-12-13
167,talnakh,69.4865,88.3972,-23.9,98,100,4.41,RU,2023-12-13
168,carnarvon,-24.8667,113.6333,25.15,69,0,8.8,AU,2023-12-13
169,portales,34.1862,-103.3344,7.96,98,100,4.56,US,2023-12-13
170,dunedin,-45.8742,170.5036,12.11,68,11,9.83,NZ,2023-12-13
171,uliastay,47.7417,96.8444,-20.0,99,100,1.15,MN,2023-12-13
172,lahad datu,5.0268,118.327,24.88,94,2,2.34,MY,2023-12-13
173,undurkhaan,47.3194,110.6556,-20.82,92,100,2.74,MN,2023-12-13
174,sandnessjoen,66.0217,12.6316,-3.94,63,20,2.06,NO,2023-12-13
175,bazarak,35.3129,69.5152,5.81,27,91,0.62,AF,2023-12-13
176,labasa,-16.4167,179.3833,23.1,89,81,2.14,FJ,2023-12-13
177,grand island,40.925,-98.342,-6.84,73,0,2.06,US,2023-12-13
178,cabedelo,-6.9811,-34.8339,30.37,63,80,7.05,BR,2023-12-13
179,albany,42.6001,-73.9662,1.36,65,4,0.45,US,2023-12-13
180,aquiraz,-3.9014,-38.3911,31.05,58,4,8.08,BR,2023-12-13
181,fale old settlement,-9.3852,-171.2468,26.16,90,100,6.18,TK,2023-12-13
182,rocky mountain house,52.3668,-114.9188,-7.94,86,18,1.03,CA,2023-12-13
183,susuman,62.7833,148.1667,-28.34,98,96,0.89,RU,2023-12-13
184,sergeyevka,53.88,67.4158,-26.22,89,5,3.05,KZ,2023-12-13
185,ola,59.5833,151.2833,-17.7,77,100,5.25,RU,2023-12-13
186,katabu,-4.9333,122.5167,25.51,90,100,1.37,ID,2023-12-13
187,poltavka,54.3663,71.7632,-26.27,86,22,3.43,RU,2023-12-13
188,pajan,-1.5667,-80.4167,24.29,87,100,1.11,EC,2023-12-13
189,effingham,32.3669,-81.3332,6.61,88,100,2.6,US,2023-12-13
190,fonte boa,-2.4959,-66.2662,25.67,95,100,1.58,BR,2023-12-13
191,port lincoln,-34.7333,135.8667,17.03,85,94,7.44,AU,2023-12-13
192,arraial do cabo,-22.9661,-42.0278,26.98,61,40,5.66,BR,2023-12-13
193,komatsu,36.4026,136.4509,4.99,87,20,3.6,JP,2023-12-13
194,nouadhibou,20.931,-17.0347,25.99,19,90,3.09,MR,2023-12-13
195,ardakan,32.31,54.0175,15.75,25,5,2.71,IR,2023-12-13
196,portland,45.5234,-122.6762,8.99,75,40,10.29,US,2023-12-13
197,axim,4.8699,-2.2405,31.88,46,100,3.48,GH,2023-12-13
198,timmins,48.4669,-81.3331,-11.1,79,100,7.2,CA,2023-12-13
199,sumbe,-11.2061,13.8437,28.2,76,97,3.01,AO,2023-12-13
200,okhotsk,59.3833,143.3,-16.53,86,100,9.79,RU,2023-12-13
201,kapa'a,22.0752,-159.319,22.18,89,100,9.26,US,2023-12-13
202,misliyah,17.4599,42.5572,29.69,50,99,6.91,SA,2023-12-13
203,jawor,51.0513,16.1935,7.88,88,100,2.24,PL,2023-12-13
204,tossa de mar,41.7325,2.9338,15.95,11,100,5.41,ES,2023-12-13
205,mokhsogollokh,61.4681,128.9203,-28.21,95,100,3.94,RU,2023-12-13
206,invercargill,-46.4,168.35,11.22,75,53,8.47,NZ,2023-12-13
